pond_id,culture_system,water_source,aeration_class,stocking_density_class,water_temperature_c,ph,do_min_night_mg_l,do_max_day_mg_l,salinity_ppt,ammonia_mg_l,nitrite_mg_l,alkalinity_mg_l,turbidity_index,avg_body_weight_g,biomass_density_kg_m2,feed_input_kg_day,fcr,survival_pct,daily_mortality_count,behavioral_stress_index,gut_condition_score,molting_irregularity_flag,growth_deviation_index,disease_risk_level,suspected_condition,treatment_applied,treatment_intensity_class,treatment_response_score,crop_health_status,harvest_viability_flag,economic_risk_index
65,Biofloc,Borewell,Medium,High,27.76,7.6,3.69,7.88,14.5,0.406,0.236,130.7,51.8,14.72,0.61,121.9,1.55,75.9,4,9,4,1,1.27,Moderate,Environmental Stress,Mineral Correction,3,0.67,Stressed,0,0.85
99,Intensive,Borewell,Low,Medium,30.11,7.62,3.51,7.79,8.4,0.147,0.315,109.3,23.1,9.56,1.32,100.1,2.09,78.8,2,6,9,0,0.83,Low,Bacterial Load,Probiotic,3,0.58,Stable,0,0.2
9,Semi-intensive,Reservoir,Low,Medium,26.55,7.2,3.74,5.95,20.1,0.224,0.205,112.9,48.1,17.1,1.75,66.9,1.39,93.0,2,1,6,1,1.31,Low,Growth Retardation,Mineral Correction,2,0.74,Stable,1,0.51
164,Semi-intensive,Canal,High,Low,28.33,8.17,4.23,7.04,21.3,0.211,0.29,171.7,37.6,8.31,0.93,165.7,1.79,76.7,1,7,4,0,0.85,Low,Multifactorial,Probiotic,3,0.98,Stable,1,0.9
263,Biofloc,Reservoir,Medium,Medium,28.07,8.47,5.07,5.94,13.6,0.279,0.208,82.3,59.9,12.38,1.1,86.3,1.39,77.1,1,9,6,0,1.03,Low,Parasitic Stress,None,1,0.73,Stable,1,0.77
263,Biofloc,Borewell,High,High,31.01,7.44,4.85,7.3,13.0,0.194,0.554,177.1,59.6,15.06,1.92,157.6,1.37,79.5,2,9,8,0,0.82,Low,Growth Retardation,None,4,0.58,Stressed,0,0.62
295,Biofloc,Canal,High,High,26.01,7.69,5.0,8.06,23.1,0.145,0.403,123.1,52.8,12.21,2.11,75.9,2.1,85.5,2,9,1,0,1.13,Low,Growth Retardation,Mineral Correction,1,0.88,Stable,1,0.86
248,Semi-intensive,Reservoir,Low,High,28.71,8.28,3.39,5.89,28.0,0.183,0.397,85.2,29.1,16.09,1.2,171.9,1.7,63.3,2,3,5,0,1.07,Low,Multifactorial,Water Exchange,4,0.73,Stable,1,0.47
60,Intensive,Canal,Medium,Low,30.27,7.43,5.17,6.62,9.3,0.205,0.479,149.0,46.5,17.89,2.09,44.0,1.71,88.6,9,2,3,0,1.2,Low,Environmental Stress,None,4,0.74,Stressed,0,0.27
14,Biofloc,Canal,Medium,Medium,30.67,7.72,5.2,6.49,23.4,0.216,0.505,110.7,29.6,24.53,0.79,119.2,2.22,85.4,4,7,2,0,0.8,Low,Multifactorial,Water Exchange,2,0.51,Failing,1,0.62
218,Biofloc,Reservoir,Low,Medium,29.52,7.24,3.53,6.61,20.8,0.39,0.37,101.4,25.4,11.19,1.38,88.6,1.94,87.4,3,4,4,0,0.71,Moderate,Growth Retardation,Water Exchange,1,0.58,Failing,0,0.8
52,Intensive,Canal,High,Low,30.45,7.4,2.83,6.23,17.7,0.339,0.503,178.6,35.7,11.89,1.91,84.4,1.79,79.1,6,9,3,0,0.98,High,Environmental Stress,Mineral Correction,1,0.79,Stressed,1,0.34
52,Biofloc,Borewell,Low,Low,26.32,8.36,2.83,6.43,14.3,0.261,0.188,82.3,58.4,11.27,1.96,172.7,1.68,71.2,5,1,3,0,0.95,Low,Parasitic Stress,None,3,0.73,Stressed,0,0.35
62,Intensive,Canal,Medium,Low,31.37,7.58,2.9,5.7,13.3,0.228,0.106,133.6,25.5,8.35,0.91,104.5,1.88,74.8,0,2,1,0,1.0,Low,Bacterial Load,Mineral Correction,2,0.38,Failing,0,0.88
272,Intensive,Canal,Medium,High,29.64,8.36,4.94,5.91,10.3,0.257,0.642,143.7,26.8,16.9,2.04,41.6,1.67,82.6,5,3,4,0,1.36,Low,Multifactorial,Carbon Dosing,1,0.64,Stressed,0,0.37
84,Intensive,Canal,Medium,Medium,30.7,7.73,3.25,8.05,7.4,0.21,0.361,91.9,30.9,16.32,1.47,55.0,2.22,70.4,0,9,7,0,1.3,Low,Growth Retardation,Water Exchange,3,0.46,Stressed,0,0.43
271,Intensive,Canal,Medium,Medium,29.34,7.66,5.32,5.62,29.9,0.202,0.054,106.7,28.0,12.66,0.94,136.9,2.04,65.3,3,2,6,0,1.28,Low,Multifactorial,Mineral Correction,1,0.95,Stable,0,0.26
127,Biofloc,Borewell,High,High,27.35,8.06,4.13,5.75,14.1,0.032,0.243,151.3,58.1,27.9,1.34,130.6,1.14,66.5,6,6,8,0,1.3,Low,Parasitic Stress,Probiotic,2,0.6,Stressed,1,0.88
169,Biofloc,Canal,Low,Medium,29.25,7.29,3.16,5.82,8.4,0.018,0.421,163.8,52.7,16.1,1.39,127.0,1.53,68.5,5,8,4,0,0.76,Low,Environmental Stress,Carbon Dosing,3,0.78,Failing,1,0.22
6,Biofloc,Borewell,Low,Low,26.03,7.3,4.0,7.33,20.1,0.185,0.428,100.8,45.5,18.53,1.5,45.6,2.25,95.0,0,2,2,0,0.94,Low,Multifactorial,Carbon Dosing,3,0.56,Stable,0,0.81
53,Semi-intensive,Canal,Low,High,29.23,8.26,4.25,5.58,19.3,0.041,0.426,166.0,58.2,26.06,1.32,162.8,1.27,72.5,5,1,6,0,0.93,Low,Bacterial Load,Mineral Correction,4,0.84,Failing,0,0.21
123,Intensive,Borewell,Low,Medium,30.31,8.36,4.13,7.87,13.0,0.145,0.277,113.3,59.5,25.9,0.87,70.2,1.84,60.1,3,4,7,0,0.78,Low,Parasitic Stress,Probiotic,4,0.67,Failing,1,0.32
35,Intensive,Reservoir,High,Medium,31.42,8.11,5.4,7.58,9.1,0.249,0.425,105.1,33.8,14.22,0.61,124.1,2.17,63.2,6,9,2,0,1.1,Low,Multifactorial,Mineral Correction,4,0.92,Failing,0,0.26
150,Biofloc,Borewell,Medium,High,30.25,8.15,4.91,6.25,23.2,0.288,0.522,135.5,47.4,18.9,0.62,164.9,2.19,69.1,1,7,5,0,1.25,Low,Growth Retardation,Probiotic,1,0.92,Stable,1,0.79
203,Intensive,Borewell,Medium,High,31.9,7.98,4.55,6.2,8.7,0.247,0.5,160.8,43.0,8.09,0.84,162.0,1.84,73.7,4,9,1,0,0.9,Low,Parasitic Stress,None,4,0.82,Stable,0,0.76
216,Intensive,Reservoir,Medium,Low,26.61,7.86,3.83,5.62,17.7,0.07,0.028,86.3,21.7,18.12,2.03,143.6,2.19,61.0,1,9,9,0,0.85,Low,Environmental Stress,Water Exchange,4,0.88,Stressed,0,0.83
150,Semi-intensive,Canal,Medium,Medium,28.29,7.84,4.24,6.69,29.5,0.243,0.619,133.1,57.5,11.48,1.55,157.7,1.26,73.2,2,3,9,0,1.32,Low,Environmental Stress,None,4,0.63,Stressed,1,0.58
102,Semi-intensive,Canal,Low,Low,29.32,7.36,3.23,8.11,25.4,0.286,0.628,114.0,26.3,12.92,1.99,82.4,1.95,93.5,2,1,8,0,1.02,Moderate,Parasitic Stress,Water Exchange,2,0.56,Failing,1,0.55
22,Biofloc,Reservoir,Medium,Low,27.42,7.25,4.45,6.41,29.1,0.207,0.505,100.2,25.7,8.85,1.82,137.3,1.55,71.2,5,6,3,1,1.14,Low,Environmental Stress,Mineral Correction,3,0.39,Stressed,1,0.87
228,Semi-intensive,Reservoir,Medium,Low,29.17,8.26,3.73,7.04,24.3,0.15,0.184,99.4,27.0,17.65,2.03,122.3,1.23,71.6,0,7,9,0,1.33,Low,Multifactorial,None,3,0.59,Failing,0,0.55
40,Intensive,Reservoir,Low,Low,31.66,8.38,3.57,5.67,25.4,0.118,0.236,101.7,46.1,26.01,0.62,98.0,1.18,82.4,5,8,3,1,1.07,Low,Parasitic Stress,Mineral Correction,1,0.92,Stressed,1,0.8
210,Intensive,Reservoir,High,Medium,30.39,7.5,2.89,6.69,10.5,0.14,0.055,106.4,48.7,13.64,2.07,42.7,1.42,81.3,1,2,8,0,0.78,Low,Growth Retardation,Water Exchange,1,0.42,Failing,0,0.34
266,Biofloc,Reservoir,Medium,High,31.97,7.23,5.3,7.5,5.0,0.334,0.382,127.8,40.0,25.15,1.81,51.5,1.35,83.7,1,7,1,0,1.29,Low,Environmental Stress,Mineral Correction,2,0.58,Stressed,1,0.42
208,Biofloc,Borewell,High,Low,30.22,7.39,4.17,5.86,8.4,0.106,0.542,137.9,49.9,18.32,1.42,69.0,2.12,82.1,2,2,1,1,1.22,Low,Multifactorial,Mineral Correction,4,0.51,Stable,1,0.51
278,Biofloc,Canal,Medium,High,29.72,7.33,4.66,7.09,28.4,0.305,0.399,108.9,42.4,14.39,0.63,54.6,1.5,86.7,5,8,3,0,1.09,Low,Environmental Stress,None,2,0.47,Failing,1,0.55
246,Intensive,Canal,Medium,High,26.76,8.37,3.4,7.64,6.2,0.127,0.367,95.3,33.0,11.74,2.08,132.7,1.76,93.5,7,9,9,0,0.85,Moderate,Parasitic Stress,Probiotic,2,0.7,Stressed,0,0.46
97,Biofloc,Canal,Medium,Low,27.28,8.39,4.0,6.26,15.5,0.242,0.241,167.8,23.6,18.51,0.69,112.4,2.11,68.3,3,5,3,0,1.09,Low,Environmental Stress,Water Exchange,2,0.75,Failing,1,0.25
203,Intensive,Borewell,Low,Low,30.64,7.53,3.27,6.24,14.6,0.366,0.292,150.7,33.4,14.16,1.15,72.6,1.67,86.1,6,7,6,1,0.94,High,Environmental Stress,Carbon Dosing,3,0.61,Stable,0,0.6
109,Semi-intensive,Borewell,Low,Medium,29.18,7.53,3.83,5.81,24.4,0.096,0.424,118.3,28.3,17.35,1.78,134.8,1.68,77.8,9,9,2,0,1.33,Moderate,Growth Retardation,Mineral Correction,3,0.61,Stable,1,0.63
132,Biofloc,Borewell,Low,Medium,26.16,7.5,4.78,7.44,26.0,0.116,0.261,103.8,40.5,22.81,1.59,108.3,2.24,67.1,1,2,4,0,1.17,Low,Bacterial Load,Water Exchange,1,0.65,Stable,1,0.65
54,Biofloc,Borewell,Low,High,29.24,8.11,4.33,5.7,20.0,0.3,0.474,141.9,34.9,25.92,0.67,103.4,1.34,75.6,10,1,2,0,1.34,Low,Multifactorial,Water Exchange,1,0.69,Failing,1,0.31
88,Biofloc,Canal,Low,High,27.72,7.22,4.7,6.73,10.6,0.17,0.507,167.3,44.1,25.13,2.12,113.1,2.3,88.3,3,6,2,0,1.03,Low,Parasitic Stress,Mineral Correction,4,0.36,Stressed,0,0.74
262,Biofloc,Canal,Medium,Low,27.76,8.49,4.95,7.28,18.1,0.065,0.063,158.9,46.9,9.49,2.02,142.7,1.23,67.1,0,6,4,1,1.22,Low,Environmental Stress,Mineral Correction,1,0.89,Stable,0,0.79
253,Biofloc,Borewell,Medium,Medium,28.65,8.19,4.13,7.26,29.1,0.217,0.527,121.1,27.2,19.99,1.75,177.4,2.3,78.8,1,2,8,0,0.8,Low,Multifactorial,None,3,0.87,Stable,0,0.38
149,Semi-intensive,Reservoir,Low,High,29.35,8.49,2.84,7.15,9.5,0.256,0.247,172.8,48.5,16.4,1.26,119.6,1.75,83.2,5,9,1,1,0.96,Low,Growth Retardation,Probiotic,3,0.57,Stressed,1,0.74
269,Semi-intensive,Borewell,High,Low,29.61,7.94,4.89,6.32,11.4,0.254,0.105,98.9,33.3,9.72,0.63,148.7,1.34,88.7,4,6,6,0,1.39,Low,Multifactorial,Water Exchange,4,0.69,Failing,1,0.69
102,Biofloc,Borewell,Medium,Medium,31.38,7.99,3.97,6.85,23.3,0.326,0.277,98.1,59.6,27.71,1.17,145.4,2.31,71.2,7,2,7,0,0.84,High,Growth Retardation,None,4,0.38,Failing,1,0.37
71,Biofloc,Canal,High,High,26.04,7.35,3.21,7.65,28.0,0.136,0.759,173.1,42.4,21.84,0.98,87.5,1.88,69.6,0,8,2,0,0.79,Moderate,Growth Retardation,None,2,0.91,Failing,0,0.38
144,Semi-intensive,Borewell,Low,Medium,30.48,7.74,4.76,5.99,21.6,0.188,0.381,173.9,42.3,25.69,1.78,166.2,2.09,70.6,2,4,8,0,0.88,Low,Multifactorial,None,4,0.4,Stable,1,0.7
15,Biofloc,Borewell,High,High,30.51,7.57,3.94,7.51,7.5,0.064,0.12,130.4,28.4,10.09,0.77,143.5,1.19,83.2,9,7,6,0,1.29,Moderate,Parasitic Stress,Water Exchange,1,0.5,Failing,1,0.62
186,Intensive,Reservoir,Medium,High,28.04,8.42,5.27,7.25,12.3,0.088,0.818,119.7,31.2,11.13,2.05,162.5,1.41,79.1,2,5,8,0,0.76,Low,Bacterial Load,Mineral Correction,2,0.34,Stressed,0,0.77
56,Biofloc,Borewell,Low,Medium,30.99,7.87,4.17,7.21,7.8,0.27,0.093,102.1,33.8,19.97,1.98,176.0,1.43,89.0,5,7,2,0,1.37,Low,Growth Retardation,Water Exchange,3,0.47,Stressed,1,0.51
68,Intensive,Canal,Low,Low,28.23,8.09,4.76,7.78,26.9,0.175,0.499,84.8,47.4,8.52,1.06,45.1,2.28,76.7,3,1,6,0,0.8,Low,Multifactorial,Water Exchange,3,0.73,Stable,1,0.48
166,Semi-intensive,Borewell,Medium,High,30.61,7.67,5.31,7.87,18.6,0.125,0.153,174.1,44.5,11.1,0.62,106.3,2.35,91.9,0,6,8,1,1.31,Low,Multifactorial,Water Exchange,3,0.69,Stable,0,0.47
74,Intensive,Borewell,Medium,Medium,28.96,8.32,4.45,6.07,15.0,0.199,0.523,141.6,32.5,9.55,1.41,108.6,2.19,78.2,1,2,3,1,1.02,Low,Growth Retardation,Mineral Correction,4,0.99,Failing,1,0.74
227,Biofloc,Reservoir,Medium,High,29.46,7.79,3.46,7.91,17.4,0.046,0.279,156.3,50.0,21.85,1.84,146.9,2.4,88.2,1,6,3,0,0.82,Low,Multifactorial,Water Exchange,4,0.63,Stable,0,0.21
241,Biofloc,Canal,High,Low,29.49,8.2,3.52,7.24,24.4,0.397,0.432,162.5,33.3,23.27,0.63,116.6,1.52,60.8,6,6,7,1,1.0,High,Bacterial Load,Mineral Correction,2,0.38,Failing,0,0.72
41,Intensive,Reservoir,High,Medium,27.79,8.04,3.86,7.74,6.1,0.245,0.68,102.7,21.3,11.25,2.17,76.8,1.48,69.9,1,7,6,0,1.32,Moderate,Growth Retardation,Water Exchange,4,0.52,Stressed,1,0.78
69,Biofloc,Borewell,Medium,Low,27.87,7.23,3.11,7.9,17.4,0.059,0.212,94.0,36.7,27.92,2.16,127.0,2.19,94.8,6,7,9,0,1.39,Moderate,Multifactorial,Carbon Dosing,4,0.33,Stressed,0,0.38
80,Semi-intensive,Reservoir,High,Low,26.12,7.21,5.44,5.87,10.6,0.14,0.476,169.4,50.4,16.79,2.03,134.5,2.09,76.9,4,6,1,0,1.1,Low,Bacterial Load,None,4,0.71,Failing,0,0.78
153,Semi-intensive,Canal,Medium,High,31.2,7.35,3.1,7.59,9.9,0.086,0.358,112.8,46.6,18.04,0.68,105.0,2.18,83.3,6,1,7,0,1.02,Moderate,Growth Retardation,Water Exchange,1,0.78,Stable,1,0.77
22,Semi-intensive,Canal,Medium,Medium,31.36,8.16,3.22,8.04,25.7,0.252,0.343,109.4,43.1,12.48,2.05,90.5,1.6,60.1,5,7,4,0,0.99,Low,Parasitic Stress,Mineral Correction,3,0.52,Stressed,1,0.48
280,Biofloc,Borewell,Low,Medium,27.73,8.24,3.03,7.43,22.6,0.216,0.226,83.2,52.4,10.65,1.79,160.4,2.33,88.2,0,7,7,0,1.02,Low,Environmental Stress,None,2,0.68,Stable,1,0.23
96,Semi-intensive,Reservoir,Low,Low,28.47,7.95,4.28,7.45,25.1,0.202,0.271,179.6,32.4,25.36,1.12,98.9,2.27,63.1,3,5,4,1,1.34,Low,Growth Retardation,None,2,0.47,Failing,0,0.89
39,Biofloc,Reservoir,Medium,High,31.82,7.51,3.14,7.54,7.5,0.055,0.306,153.8,26.1,10.97,1.16,155.4,2.0,62.0,4,8,1,0,0.93,Low,Bacterial Load,Water Exchange,1,0.36,Failing,1,0.9
20,Intensive,Borewell,Medium,Medium,26.87,7.73,3.63,7.94,27.5,0.205,0.409,96.6,33.8,24.25,1.91,60.6,2.1,75.3,3,5,1,0,0.9,Low,Bacterial Load,Mineral Correction,2,0.95,Failing,0,0.45
163,Semi-intensive,Canal,Low,Medium,27.59,8.49,3.81,6.59,9.0,0.336,0.305,144.8,35.5,25.72,1.52,79.6,1.94,69.3,8,7,8,0,1.26,High,Bacterial Load,Water Exchange,4,0.4,Failing,0,0.34
234,Semi-intensive,Canal,Low,Medium,28.88,7.95,4.12,7.21,10.5,0.21,0.626,86.0,38.9,14.19,1.46,97.6,2.03,94.1,1,9,9,0,0.86,Low,Multifactorial,Water Exchange,4,0.37,Failing,1,0.27
147,Semi-intensive,Borewell,High,Low,28.71,7.65,5.04,8.17,12.0,0.353,0.205,87.7,42.5,8.92,1.84,144.8,2.16,92.6,6,3,3,0,1.31,Moderate,Bacterial Load,Water Exchange,3,0.89,Stable,0,0.3
86,Semi-intensive,Reservoir,Low,Medium,27.19,8.25,4.71,6.99,8.3,0.059,0.464,145.8,54.0,8.28,1.01,172.1,1.84,63.5,4,3,4,0,1.06,Low,Bacterial Load,Water Exchange,4,0.96,Stable,0,0.45
277,Intensive,Canal,Medium,Low,28.32,7.65,5.27,8.07,21.2,0.269,0.135,144.0,58.0,12.69,2.15,49.3,1.91,79.3,6,8,7,1,0.87,Low,Growth Retardation,Probiotic,4,0.38,Stable,1,0.54
165,Biofloc,Reservoir,High,Medium,29.44,7.81,5.01,6.97,17.9,0.171,0.345,115.6,31.1,20.19,1.93,43.6,2.13,69.3,6,1,3,1,1.4,Low,Environmental Stress,None,2,0.63,Stressed,1,0.58
101,Intensive,Reservoir,Low,High,26.37,8.15,3.31,5.59,29.7,0.516,0.321,87.5,51.7,27.27,1.19,176.8,1.66,67.9,8,6,2,0,1.28,High,Bacterial Load,None,2,0.61,Stressed,0,0.5
240,Semi-intensive,Canal,Medium,Medium,27.3,7.85,3.74,5.87,23.3,0.235,0.227,167.1,39.1,22.67,1.95,66.7,2.36,79.9,3,3,7,0,0.8,Low,Environmental Stress,Carbon Dosing,3,0.81,Failing,0,0.57
146,Semi-intensive,Reservoir,Medium,Low,31.34,8.36,2.85,7.32,7.2,0.201,0.558,140.9,34.4,15.99,0.95,62.9,1.41,67.0,4,3,3,1,0.98,Moderate,Growth Retardation,Probiotic,1,0.42,Failing,0,0.82
210,Biofloc,Canal,High,High,31.06,7.98,4.72,7.59,11.7,0.516,0.637,176.4,26.5,21.19,1.64,80.2,1.63,63.5,5,7,9,0,0.82,Moderate,Parasitic Stress,None,2,0.34,Stable,0,0.71
110,Intensive,Borewell,High,Medium,29.38,8.39,3.59,6.3,5.0,0.214,0.284,162.7,21.4,18.46,1.06,94.8,1.51,68.7,1,8,2,0,1.31,Low,Multifactorial,Probiotic,3,0.57,Failing,0,0.23
13,Semi-intensive,Reservoir,Low,Medium,26.23,7.22,5.22,7.19,13.4,0.127,0.252,81.2,30.3,10.12,1.1,174.8,1.6,65.0,7,5,5,0,1.0,Low,Multifactorial,Probiotic,2,0.83,Stable,1,0.83
85,Intensive,Reservoir,Medium,High,29.92,7.92,5.43,7.13,27.2,0.376,0.309,128.7,25.7,26.68,1.46,165.9,2.26,73.1,4,7,1,0,0.74,Low,Bacterial Load,Mineral Correction,4,0.7,Failing,0,0.31
270,Intensive,Reservoir,High,Low,31.75,7.65,4.44,7.27,21.0,0.23,0.393,178.8,59.3,8.6,0.64,172.6,1.92,80.9,2,9,1,0,0.74,Low,Bacterial Load,Probiotic,2,0.48,Stressed,0,0.29
297,Biofloc,Reservoir,Low,Medium,26.35,7.29,4.78,5.54,28.6,0.108,0.424,175.3,52.9,16.35,1.14,72.9,2.02,67.5,2,1,5,1,0.75,Low,Multifactorial,None,3,0.49,Stable,0,0.79
251,Biofloc,Canal,High,High,27.16,7.99,4.75,7.74,16.2,0.492,0.366,84.7,47.0,20.02,1.72,74.2,1.38,67.0,6,1,9,1,0.95,Moderate,Multifactorial,Water Exchange,3,0.95,Stable,1,0.78
59,Intensive,Borewell,Low,Low,28.09,7.41,4.15,7.55,25.1,0.095,0.604,160.8,23.8,11.55,1.75,101.5,2.27,88.9,2,4,2,0,1.11,Low,Growth Retardation,None,1,0.78,Stable,1,0.78
4,Biofloc,Reservoir,Low,High,28.95,7.44,5.24,7.14,16.8,0.124,0.263,168.1,31.0,12.56,1.61,143.2,2.24,70.1,5,3,7,0,0.73,Low,Parasitic Stress,Water Exchange,1,0.56,Failing,0,0.83
178,Biofloc,Reservoir,Low,Medium,26.22,7.83,5.18,6.63,19.6,0.216,0.206,178.7,32.9,26.14,1.38,152.0,1.43,67.5,4,3,3,1,1.29,Low,Environmental Stress,None,1,0.33,Stressed,1,0.87
133,Intensive,Borewell,Medium,Low,30.73,8.46,5.39,5.55,6.2,0.166,0.549,90.6,51.7,16.59,0.69,111.8,1.21,71.3,5,8,2,0,1.33,Low,Growth Retardation,Probiotic,4,0.69,Failing,0,0.22
144,Semi-intensive,Reservoir,Low,High,30.06,8.42,3.88,7.1,24.3,0.097,0.805,116.4,59.5,27.61,0.64,106.7,1.76,85.9,3,4,6,0,1.2,Moderate,Parasitic Stress,Water Exchange,4,0.4,Failing,0,0.51
233,Intensive,Borewell,Medium,High,27.75,7.24,4.63,5.85,29.5,0.199,0.369,140.9,57.6,10.14,0.99,136.6,2.06,92.6,7,1,6,0,0.71,Low,Growth Retardation,Mineral Correction,1,0.45,Stable,1,0.5
289,Intensive,Reservoir,Low,Medium,30.62,7.32,5.04,7.2,20.1,0.005,0.334,151.2,56.6,14.76,1.46,136.1,2.16,60.2,10,2,5,0,1.12,Low,Multifactorial,Mineral Correction,1,0.63,Stable,0,0.31
60,Semi-intensive,Borewell,Medium,Medium,26.51,7.86,5.12,6.61,16.9,0.262,0.007,178.4,51.3,24.36,1.58,78.0,2.07,75.1,5,8,7,0,1.19,Low,Environmental Stress,Water Exchange,3,0.3,Failing,0,0.34
67,Intensive,Borewell,High,High,29.78,7.58,4.7,5.74,16.7,0.252,0.251,141.9,34.8,25.89,1.82,86.7,2.18,92.9,2,3,3,0,0.73,Low,Growth Retardation,None,2,0.69,Stable,0,0.33
137,Biofloc,Borewell,Low,High,28.51,8.48,4.85,5.79,16.2,0.086,0.55,86.0,55.6,22.39,1.9,132.9,1.25,65.2,4,8,9,0,1.32,Low,Environmental Stress,Water Exchange,4,0.8,Stable,1,0.7
229,Intensive,Canal,Medium,Low,29.97,8.32,3.09,5.67,14.8,0.257,0.537,132.7,56.1,20.5,1.61,100.3,2.06,71.3,9,6,9,0,1.18,High,Growth Retardation,Carbon Dosing,4,0.39,Failing,1,0.24
59,Intensive,Reservoir,Medium,Medium,30.51,7.71,2.96,6.21,20.8,0.19,0.461,114.7,42.6,24.05,1.15,60.4,2.02,89.9,0,9,1,0,0.95,Low,Parasitic Stress,Mineral Correction,2,0.76,Failing,1,0.58
2,Semi-intensive,Canal,High,Low,27.78,7.34,5.1,7.33,14.1,0.348,0.185,127.6,27.0,24.22,0.84,48.4,1.3,62.3,2,9,1,0,1.0,Low,Multifactorial,Water Exchange,3,0.99,Failing,1,0.86
92,Semi-intensive,Reservoir,Low,Low,30.44,8.09,3.19,7.44,21.6,0.251,0.231,121.3,21.7,10.2,2.06,157.3,1.73,71.0,1,1,7,0,1.09,Low,Environmental Stress,Water Exchange,4,0.95,Stressed,1,0.89
212,Semi-intensive,Canal,Medium,Medium,27.89,7.94,3.91,6.52,28.6,0.149,0.273,156.9,29.5,18.67,2.17,51.2,1.81,91.5,3,5,9,0,1.38,Low,Environmental Stress,Mineral Correction,4,0.95,Stable,1,0.29
157,Semi-intensive,Reservoir,High,High,29.6,8.44,3.74,7.91,14.8,0.093,0.468,168.7,26.1,12.46,1.22,54.8,1.83,65.2,7,5,1,0,1.35,Moderate,Multifactorial,Probiotic,4,0.93,Stable,1,0.84
50,Semi-intensive,Reservoir,Medium,High,26.0,7.73,4.04,7.06,28.9,0.317,0.392,91.9,31.4,13.89,0.84,132.6,2.25,69.2,2,1,7,0,0.78,Low,Growth Retardation,None,1,0.98,Stable,0,0.31
155,Semi-intensive,Canal,High,Medium,30.44,8.35,3.58,5.87,22.0,0.248,0.301,103.9,50.4,18.81,2.09,58.5,2.38,81.8,4,9,9,0,1.28,Low,Parasitic Stress,Probiotic,4,0.71,Failing,1,0.65
74,Semi-intensive,Borewell,Low,High,29.1,7.4,4.37,8.18,15.9,0.218,0.246,101.8,50.3,18.95,1.34,94.9,1.92,69.5,0,1,6,0,1.23,Low,Multifactorial,Water Exchange,2,0.92,Stable,1,0.81
